old_id	author	comment	origin
924	love	It’s my dads favorite song I like it too	Creep
925	WorldPain	I'm 3 yrs old and I've been listening to this song for since i was a baby it's my favorite song	Creep
926	L Marie	Man... I love this song!! I could play this song for a whole hour. 🥰🌹❤	Creep
927	Claire Daoudi	Ma préféré ❤️🔥	Creep
928	Jeffrey Zain ➐	I’ve been reincarnated twice and this is still my favourite song — EVER!	Creep
929	Damien Gilmour	But I can speak ...	Creep
930	HighLordofTerra	30 years later and that first 'CHUG-UGG' still gets me.	Creep
932	Olivia Sepulveda	Boy crazy song	Creep
933	Olivia Sepulveda	A force to be reken with	Creep
935	michaelbtw_42	the funny kid when he gets home:	Creep
937	camargo yelsen	"""soy un raro"""	Creep
938	Tyrone	What he did with this song is like nothing ever seen, it told the life of the rich and poor	Creep
939	free speech	Song sucks	Creep
940	Abner Lopez	Neither do I	Creep
941	dingsgabriel	"""I wish I was special, so fucking special. But I'm a creep."""	Creep
944	Eqwan Shuhailleh	"""I wish i was special"""	Creep
945	Jeannie Jewel	I'm one hundred and this song is awesome 😁	Creep
946	Layne Staley 2021	I love the original video too ❤😢😢	Creep
947	Gabriel Chambi	no puedo creer q no haya ningun comentario en i n gles ;v ash	Creep
948	Faustino Morales	Esas son canciones las q no sabes q dicen pero te llegan te llegan	Creep
949	Stefan Veteryx	Omg i wish i was born in the 90s this generation is bad at music bro no one knows them 😓😓😓	Creep
950	enzo dettori	ma non era di vaspo rosso?	Creep
951	kp patel	My Funeral Song. End of!	Creep
952	ACOG	this is indeed the song	Creep
953	Keith Basey	Timeless	Creep
954	Lal Nuntlini	Masterpiece...neever get old.....always gosbummmmmppppp..	Creep
955	rolls	music	Creep
956	Ciko Cikot	Include masterpiece song ever ...so special	Creep
957	Charlie Whitehurst	Nothing beats singing this when home alone	Creep
958	Tobio Kageyama🥛	Here just bcz given	Creep
961	kp patel	Ffs! That guitar has got me up for anything!	Creep
963	AyoinDubai	2023 we r here	Creep
965	1959dorin	All my LOVE !	Creep
967	COBA SAJA	I born in 2100 and its still my favorit song	Creep
968	Carl Kendall	Great 🎵	Creep
969	klaus s	Makes me cry every single time..	Creep
970	שלומית אוחיון	One of the biggest song's that even been	Creep
971	Samoegaara tobie Purba	I came from tiktok to see the sabotage guitarist	Creep
972	ZrainF91	I'm 9,875,388,278,784,892.87.8 years old and this is still the best song ever written!	Creep
974	Zander Newton	The power of the minor 4 chord	Creep
975	Lucas Sabedra	I'm 578,734,644,948,657 years old and this still my favorite song	Creep
976	Thomas	The real story on this song is even sadder..... I still remember listening to this song over and over again. If you don't feel anything, you have a big problem.	Creep
977	Peter Winters	Run run ruuuuuuuuuuun	Creep
978	Peter Winters	Greatest guitar break into the bridge	Creep
979	Peter Winters	You’re so fuck’n special	Creep
981	Toxic XV3	I just discovered this song 2 days ago. been stressing depressing contemplating suicide and the song makes me want to end the pain	Creep
982	ghostroy	but imma crepe	Creep
983	Jan Party	i just found this song and it's not my favourite song its gud tho	Creep
984	Chaim Klimt	I'm 7.854.927 years old and it's still my favorite song.	Creep
985	am i online?	Im not even born this is still a banger	Creep
987	YUNG SHEPPARD	Taking this with me into 23 ykthedealll!!!!🔥🔥🔥🔥	Creep
988	Christopher Pew	I’m 749 years old and this song still gives me chills.	Creep
989	Stingy	I hate this song	Creep
990	J U A N   BALADAS	GOD BLESS YOU with that special woman ! ! NUR 666	Creep
991	Cindy Robert	Cette chanson !!! Dans n'importe quel état tu te la mets 😁😁	Creep
992	hubertgunpowder	Fantastic !! ♫	Creep
993	mr. sltrskid	cause i am pete i'm peter grffin	Creep
994	LARYVINDRAN RAJAN LOGA	A master piece with drugs named as music.. addicted to it	Creep
995	ambar veliz	AMOOOOOOOOOOOOMOO LOVE ITTTT	Creep
997	Joann Price	Knew the day would come. I don't belong here.	Creep
998	A O'Ca	2001 Nov Gibralta. Singin WW3,WW3 to this tune. got old there 4 me. 2022 Ukraine ground force's might feel le same Partee On	Creep
999	praneel kharat	Hey i am alive 😂😊 and this my fake smile 😂😂	Creep
1000	amanda sauta	felt like this song played in the background as i watched my crush date someone else	Creep
1002	The Villiriated	How do I know most of these lyrics? I've only just come across this song now 🤣 I'm trying to figure out where I've heard it from, which movie, show, whatever and it's driving me nuts!	Creep
1003	Monalisa	💚🖤🤘🏼🎧🎶 ja ich Falle in dieses Lied so schön🎀💞🎧🎶	Creep
1004	HUMAN ADDICTIONS	I want her to notice that I don't want her around...	Creep
1005	Rizqiy Firdaus	If you watch this at 2040, you're a legend	Creep
1	Brandon Lewis Gaming	I think this was the best piece of pop art about death until Bowie’s “Blackstar” 12 years later	Hurt
2	Z K	The point of this song is beyond what many people think. He’s referring to his past life of fame , drugs and trophies as an empire of dirt that will fail you not only emotionally but you can’t take any of that to the grave, it’ll give you pain and hurt especially in comparison to the gift of salvation in Jesus Christ that has victory over the grave. Jesus is the way the truth and the life. The 10 commandments are the moral law, you and I broke the law, but Jesus paid the fine. That is the whole purpose of the coming, death and resurrection of Jesus Christ. To pay the wages that were due to us so that those who believe will be pardoned on judgement day. I believe this song has a sense of regret of choosing the life he chose in the past over the precious gift of salvation, when we know this truth and continue to indulge in sin, it’s as if we are nailing Jesus back to the cross. But I believe Johnny cash came back to the truth and entered glory with his Savior.	Hurt
5	Joe Stevens	The older I get the harder this song hits. ❤	Hurt
6	Neil Menzies	Love this most honest song I've ever heard ✌️	Hurt
7	John Sagsveen	This is one of the most metal pieces of art I've ever seen	Hurt
8	Marc van der Kruis	@Jesus Cespedes No way dude... I literally JUST did Arthur's final mission 2 minutes ago... and I needed to listen to this song... talk about coincidence....	Hurt
9	Олег Михалап	Nice song	Hurt
10	27neverlose	What an incredible song. It's amazing how every verse has the meaning of our past life and the death that awaits us all....	Hurt
11	Jesus Cespedes	This song would’ve been great for red dead 2 when Arthur dies	Hurt
12	VicGeorge2K6	My father just passed away recently (1940 - 2023) and I was thinking of this song	Hurt
13	Alaa	Full of broken thoughts	Hurt
16	Winterwolf	Currently losing my brother now.. I understand you Johnny... I understand it so well..	Hurt
17	Gaurdian Tome	Because you all killed son.	Hurt
18	DAPICS	I hurt myself today To see if I still feel I focus on the pain The only thing that's real The needle tears a hole The old familiar sting Try to kill it all away But I remember everything What have I become? My sweetest friend Everyone I know goes away In the end And you could have it all My empire of dirt I will let you down I will make you hurt I wear this crown of thorns Upon my liar's chair Full of broken thoughts I cannot repair Beneath the stains of time The feelings disappear You are someone else I'm still right here What have I become? My sweetest friend Everyone I know goes away In the end And you could have it all My empire of dirt I will let you down I will make you hurt If I could start again A million miles away I would keep myself I would find a way	Hurt
19	Chinmay mandal	Wao… those few words by Trent Renzor… ❤❤	Hurt
20	Not so hunkey Monkey	This is the closest a song will come to making me cry and it was damn close	Hurt
21	OscarDev	I will never forgive him for being impatient on that pause between the verses and chorus where Trent sets the tone, but here he just jumps it.	Hurt
22	Not Sure	Oh man, I am more scared to grow old and suffer than of dying :(	Hurt
23	William Kennedy	I think Trent Reznor produced this. Powerful Try Gods gonna cut you down. Also powerful	Hurt
24	Steven Wolf	9 inch nails	Hurt
25	Steve Blundon	"The year is 2002. A guitar student comes in for his lesson and asks, ""Have you heard Johnny Cash's version of Hurt yet?"". I quickly find a copy, cue it up and sit in my teacher's chair - just - listening. Replaying it three times because I can't believe what I'm hearing. I've never, ever heard anyone sledgehammer their stake in the ground with such musical perfection. Johnny absolutely OWNED this song in every way. To this day, his version still has the same effect on me, and probably you as well."	Hurt
26	Quim Buth	The real Truth of life	Hurt
27	Huize Vulto	i cannot imagine the emotions this song conjured. a true legend signign off. gone, but NEVER forgotten.	Hurt
28	Shelby	what hae i become my sweetest frend	Hurt
29	russ morrow	Legendary performance	Hurt
30	Rick Salisbury	A 20 year old Trent Resnor ,(NINE INCH NAILS) wrote this song. Trent says Johnny owns the song.	Hurt
31	Martin Smith	The most poigont film I ha e ever seen.	Hurt
32	Todd A	I found Pretty Hate Machine in November of 1989 after jogging to a record store in Lake Tahoe...been a Trent Reznor/NIN fan ever since. Absolutely beautiful, monster of a cover. How the fuck did I miss this?	Hurt
33	Orcastro Júnior	Listen, this song can also be great: https://youtu.be/Tt-ABLG4KC0	Hurt
34	Orcastro Júnior	Waw. What a song	Hurt
35	Iskander Utyashev	It's been officially 20 years since Johnny Cash has died and this song is still here to keep his legacy alive!	Hurt
36	Connor Prince	He lowkey looks like he could be godfather	Hurt
37	Cristián Gonzalez	So very deep	Hurt
38	Colin Tomlinson	I am the youngest of seven children I dearly hope that I don't have to say goodbye to my six lovely sisters	Hurt
39	silentdeathwish	Kill or be killed	Hurt
40	Vlcoun	Respect to this man.	Hurt
41	Pepe Gomez	"""Good artists copy, great ones steal"" Pablo Picasso."	Hurt
43	christian rossi	one of the best song in the history of music	Hurt
44	Vottoto Iono	'm crying	Hurt
45	Patrik Huljak	Man...	Hurt
46	Deep Learning	The Gods a God	Hurt
47	tRex	You can't do it much better than that. Song and video.	Hurt
48	Gary Robinson	A fitting last song for a truly american original	Hurt
50	Art Fleck	I can't stop playing this and I can't stop crying.	Hurt
51	Sean Atherton-Feeney	The greatest compliment to a song writer is to have their song covered so well its authorship is lost and the global community forgets you wrote it. In that forgetting can be found, ironically, immortality. Thanks Trent and Cash.	Hurt
52	Dan R Goodnight	incredibly powerful and still causes a problem with my allergies	Hurt
53	helmut23456	This song touches my soul.... Johnny's greatest work; he saved it for last~~~~	Hurt
54	Dan Gennaro	You know, I was never a big fan of Johnny cash, never was a country fan at all, I said his music was too dark or sad, or depressing as a teen and young adult. Then you get older and life happens, where you find yourself in a dark pit, when everything is upside down, wrecked, and all of a sudden his music resonates so much more in my soul. Especially this song above all else. What a amazing anthem.	Hurt
55	Mike Freitag	I can’t even listen to it. 😢	Hurt
56	David Cox	Cash's version of this song still makes the hairs on my arm stand up. 25 years ago, if someone suggested Johnny Cash was going to cover a Nine Inch Nails song, I would have said that's a stupid and even ridiculous idea. But my God, this song is at another level. So emotional it rips you apart.	Hurt
57	Matz Hatz	poor rich man😭	Hurt
58	LazyDemonSeed	LEGEND	Hurt
59	grezy_mechta	Awwww am so emothionnel.😱😱😱😱 am litteraly crying😱😱the piano is good😱😱 Fck off cringy ppl w ur shit music taste	Hurt
61	Peter Nicklin	Every one I know goes away in the end. Mom and dad I miss you.	Hurt
62	Cesar Elias	one of the most honest pieces of music ever created	Hurt
63	Autism Social Cast	Time forces the memory in its place. Instant gratification is only for the Cool Cats. Let me explain. Memory makes you want to go back to that feeling. Addiction, a terrible thing that the elite neurotypicals. Resistant to peer pressure unless it for its own petty gain, then force must be used, because natural selection never ends well for the monster. You will never take down the ringleader, you can persuade those around them to pull the trigger.	Hurt
64	DrMattDestruction	they lied to you about the minimum wage. if the minimum wage was $0/hour, you could've been hiring employees since you were 14. everyone can afford to work for $0/hour if the Universal Basic Income is in place. let's give everyone a guaranteed minimum income of $1,500ish USD/month. tretettetet	Hurt
65	christianlorre	It's so chilling. And so sad seeing how much he aged so badly. Brings out a lot lot of pain because I remember my mother and how much she changed in the last 25 years of her life going downhill so subtle until you realize how much is lost far too late.	Hurt
66	Bradley Carrico	I really wanna know how this song came to be chose. So different from the normal Johnny Cash songs. What a cover! It’s no longer a 9 inch nails tune.	Hurt
67	Lemar Tin	What have I become- my Swedish friend?	Hurt
69	Seba Promyk Official	Brilliant!💥👌	Hurt
71	Bernhard Odorowski	you can't just leave! we need you!!! told you to stay the hell from me you hear?	Hurt
72	Mark Cargill	Thank you JC for everything. Love from Scotland.	Hurt
73	Tobias Kuhn	I loose it everytime June shows up and I can't stop bawling my eyes out	Hurt
74	Clint Potts	I grew up listening to my dad listening to Johnny Cash. He had all the early albums and when he got in a particular mood, the Johnny Walker and the Johnny Cash came out. He'd sit in the dark listening to all of the old songs. When the music stopped and the lights went on, dad was himself again. Sometimes, you just need to feel some pain. I always respected Cash but it was this song that made me understand. This song made me a fan. Sometimes, you just need to Hurt.	Hurt
75	Whitevaliantwarrior	🎼 It doesn't matter who you are...Great, small or tiny, burnt out with nothing to your name. No matter what you have attained or all the money, fame and riches to your name. Because in the end you take nothing with you. All will stand before their Maker, Creator of all mankind, The highest, most mighty of any & everything. ( 2 Corinthians 5:10 ) For we must all appear before the judgment seat of CHRIST, that each one may receive the things done in the body, according to what he has done, whether good or bad. ( Romans 14:12 ) So then each one of us will give an account of himself to GOD. ( Hebrews 9:27 ) And as it is appointed for men to die once, but after this the judgment 🙏 🙌 .	Hurt
77	Nathan Diaz	I’ll meet you there, if there a there	Hurt
78	The Lean Ranger!	Powerful	Hurt
79	iam_henriettajonas	After a bad breakup. I remember crying to this song in the shower	Hurt
80	Delia Art	I remember fondly riding shot gun in ol' Nelly Bell my dad's second generation f series.. radio turned up with Jonny Cash. I always say with pride to this day that I grew up with the best music ever. I wish country music was the same. Oh the good times good days. One day I'm gonna buy me a truck just like my dads travel to whever the road takes me and blast Jonny Cash on the radio..	Hurt
81	Miss Deadite	parts of this song both the NiN version and his cover are basically the relationship I have in my head with my mental illnesses. At some point I make a new mistake and they feed off of each other over and over. Never ending pain for days or weeks. I get to a point where I shut down. The pain numbs and I can function again until the next mistake and it begins again.	Hurt
82	Sheenia S.A.R.G	This song makes u cry...I haft to say this is the sadest song Johnny Cash has ever sung its sad to see him and June gone They was the best country singers they will be missed..	Hurt
83	Bastian Guerrero	One of the strongest voices ever been heared and it will still in the futre without doubt	Hurt
84	Isac Arnold	'What have I become' a fucking legend. Even though you pasted before I was even born, we all still miss, love and respect the man in black	Hurt
85	* * * Chief89 *	It is awesome.	Hurt
86	Diceman939	Yes this song will make every one with pain they have experienced in life appreciate this song and feel his pain at the same time. We’re not alone kind of feeling.	Hurt
88	Brody James	I miss you Eddie	Hurt
89	JAMES SHUTA	Actually boy named Sue	Hurt
91	Nonexistanthuman	Truly talented songwriting skills from Trent Reznor	Hurt
92	pankrockeiro	Legenda em português?	Hurt
93	Guadalupe Rubio flores	Well a Guess wey sing whar wey been hiding most of our luces whes shows closet it Pops up	Hurt
95	Neil Jessop	What a great song, very moving 😢	Hurt
96	IAmManWithTheGun	He died just one year after performing this cover…	Hurt
98	Koheleth	I know he did A LOT of dope, but I just don't think that accounts for how poorly he aged. People of his generation surely aged poorly. I mean the man only live to be 71, would've been about 70 when he filmed this, but looked and seemed every bit of 90. Today 70-year-olds certainly don't look young, but they didn't age that badly in comparison. And today you'll find many people in their 60s who look pretty damned good. And I'm talking rock stars who partied hard like Nikki Sixx and Tommy Lee, Tommy Shaw, etc. There's a quite a few who have aged really well. But people do seem to age better, not everyone, but in general. I mean, that's why you have Tom Brady playing in the NFL at 45 and other athletes--fighters even--competing professionally into their 40s. I remember when Joe Montana seemed like an old man when he went to Kansas City in his 30s. Lot of genetic luck involved for sure, but it's important to take care yourself too, but it's amazing that even those who don't still seem to age better than the generations before them. Probably a lot of stuff in environment is better today, no lead in the paint or gasoline anymore, probably lots of reasons for it.	Hurt
99	Joseph Stalin	“I stubbed my toe last night”	Hurt
100	bob cabot	when the reality of getting clean becomes art...	Hurt
101	Mobeen Patrawala	Death is a terrifying truth. It seriously makes you question the purpose of your life.	Hurt
102	Anthony Bramah	My word. A masterpiece. RIP Johnny.	Hurt
104	Paul Mchugh	Thank you to the best show on radio one ever Marc and lard x. When I heard this John peel lives on in the show !	Hurt
105	Sheldon	I cry everytime I watch this video yet I keep coming back. Just wanted to share that with completer strangers here that for some odd reason I trust you all. God bless!	Hurt
106	Sheldon	Miss this legend more today then yesterday. RIP Johnny, never forgotten🙏	Hurt
107	JxrZ	Not only does this hit hard, you can feel the pain in Johnny Cash’s voice. All the things he probably wishes he done differently, just like any human on the planet. We all have regrets. It’s sad world we live in and no matter how hard we try, we still have them. I told myself I wasn’t gonna do drugs when I seen D.A.R.E, but that was a lie. I’m clean now, but I did listen to this when I was high. You’ll never understand the word hate until you’ve hated yourself	Hurt
108	kaminznanna	wow, this hurt on a new level!	Hurt
109	Bracelets	77 light years away	Hurt
110	James Bortle	no joke	Hurt
112	Bryan James	Brought tears to my eyes	Hurt
113	Loganrp06	If you this I wish you luck in your dreams on what you want to do	Hurt
114	Deatherage	I really hope I pass on before any of my friends or family do.	Hurt
115	25 Shmeckles	This is A nine inch nails song.	Hurt
116	Marie Sipes	This song is so full of pain!	Hurt
117	Kubsztal Subsztal	"""everyone i know goes away in the end"" I can barely hold my tears back. We miss you Cash. 20 painful years since your death now."	Hurt
118	Carl	I am proud to have been here to see his life.	Hurt
119	websites w/o code	"We are blessed to have had you with us on this ""Empire of Dirt"" 🙏"	Hurt
120	Christian K	All those people borrowed from him	Hurt
121	Google Sucks	This song makes me want to loose myself in the bottle, drink myself into oblivion and forget my troubles, the hardship of getting old and all the horrors taking place in the world right now. 90 seconds to midnight! Peace now!	Hurt
123	matt frazer	Green. Music 🎶	Hurt
124	Dawid Warszawski	Legend- The King must be one but there is a two.	Hurt
125	Dawid Warszawski	Hey Johnny- Las Vegas diminish in Your Bright. Just like Elvis . All this new Vegas..ekhm Las Vegas🙂	Hurt
126	Ellie	Still good and relevant in 2023!	Hurt
127	Spec-Ops 	Johnny cash is Top G	Hurt
129	alexandra gaines	Crying	Hurt
132	James Stinedurf	i love the NIN original, but this cover is so effortlessly emotional. if you don't feel anything, you're probably dead	Hurt
133	Planetary goodness It’s universal!	Hurt Hurts my soul	Hurt
134	Saul Avila	Saber chiaroscuro con guava	Hurt
135	Florida Man Dre	The sound of a man reflecting on the long life he’s led and will soon leave behind before he take his final breath.	Hurt
136	Peace & Paua (power)	Gulp 😢 trent Reznor did it great, this guy made it feel	Hurt
137	Larry Whinnery	Johnny couldn’t have done a better song at the end of his career and life. It cuts right through the soul.	Hurt
139	Sumanta Roy	I often come back to this and wonder if that’s the last time Cash closed the case on his piano	Hurt
140	Dylan H	"""If I could start again A million miles away I would keep myself I would find a way"" Regret at a young age is one thing as there is a whole life ahead of you that has yet to be defined. The end is very different."	Hurt
141	Elysha Ray	The fact that Johnny Cash did a cover of Trent Reznors song is amazing and to hear how humble Trent was about it, bewildered is amazing in itself.	Hurt
143	David Thorton	They say there are songs floating in air just need to reach out and grab them, it also says that everyone has a song in themselves. This song was playing in the Heart of millions over the life of mankind, every one heard this song playing in there head, Trent Reznor was the first to bring it out to the world, Johnny Cash put the final touch on it,	Hurt
144	Marco Ferreira	the emotion in this song...	Hurt
145	Martin Kalmus	He were Smart Man.	Hurt
146	chaztech	thats all of us	Hurt
147	The Archangel Michael I Am #17	16“Come near me and listen to this: “From the first announcement I have not spoken in secret; at the time it happens, I am there.” And now the Sovereign Lord has sent me, endowed with his Spirit. 17This is what the Lord says— your Redeemer, the Holy One of Israel: “I am the Lord your God, who teaches you what is best for you, who directs you in the way you should go. 18If only you had paid attention to my commands, your peace would have been like a river, your well-being like the waves of the sea. 19Your descendants would have been like the sand, your children like its numberless grains; their name would never be blotted out nor destroyed from before me.” 20Leave Babylon, flee from the Babylonians! Announce this with shouts of joy and proclaim it. Send it out to the ends of the earth; say, “The Lord has redeemed his servant Jacob.” 21They did not thirst when he led them through the deserts; he made water flow for them from the rock; he split the rock and water gushed out. 22“There is no peace,” says the Lord, “for the wicked.” Q-link 17/45	Hurt
148	Benn grainger	We all lose in the end	Hurt
149	Niles	wow, simply wow	Hurt
150	HECTOR JESUS RIVERA ESPINOZA	Está canción 🎶🎼 va GENIAL en la película de LOGAN.... Ya al FINAL DE TODO👍	Hurt
151	Pablo M. Caro	This song broke my heart and soul but at the same time it's so beautiful. I don't know how to describe all the emotions that comes to me. Thanks Johnny Cash for this beautiful work of art.	Hurt
153	Martin Connors	I still cry my eyes out, when I hear this great tune. A masterpiece. This song played on the radio, after I heard about my Maternal Grandfather's death from Coronavirus 21st January 2021 aged 92. Rest In Peace Grandfather Leslie; the world is a darker place now, without you in it. Miss you so much Grandpa. Fly High and wait for me	Hurt
154	Jay Whyte	Repent and believe the gospel of Christ.. that he died for the SINS of the world was buried and rose on the third day.	Hurt
155	Jacob Dibble	skrillex deserves a footjob for this	Hurt
156	Sgt.Waffles	Nostalgia really isn't what it used to be	Hurt
157	Star Man	The only cover that will ever be justified	Hurt
158	DF T	A beautiful song from a very clever man. A man tormented in many woes good vs evil. GOD WON 🙏	Hurt
159	Trashdragon	nice song but this guy vaguely looks like hector from breaking bad	Hurt
160	Ben Wood	I was 17 when I went to a Nine inch nails concert, he played this song. It was incredible. I thought it could never be topped. Then Johnny Fuckin Cash did it, and realize it was always his song.	Hurt
161	Alexandre Masseron	"""I focus on the pain, the only think that real"""	Hurt
163	Susan Jean	Wow Johnny really made this song powerful.	Hurt
165	Woobyca	Trent Reznor said after seeing Johnny's video that the song was no longer his. I wonder if Reznor wrote this song for Johnny and never knew it...God works in mysterious ways.	Hurt
167	Andrea Padilla	It still blows my mind that he didn't write this song, it was written by Nine Inch Nails!	Hurt
168	Totally Not E	Not the biggest fan of his, but this song hits hard. Like the part I relate to is feeling like I’ll let people down and hurt them without trying. It’s the reason I have a hard letting people come close to see the mess that is underneath who I actually am.	Hurt
169	Bodacious Tness	One of the best inner-worlds of a junkie ever performed.	Hurt
170	Tony Wright	So fuking boring	Hurt
171	Robert Richard	This might be my favorite video tied to a song. Absolutely powerful and beautiful at the same time! Rip Mr cash im 38 now and I'll be rocking your music till my bitter end! Thank you for the gifts you gave to us!	Hurt
173	IroniK	Always tear up at the end.. always.	Hurt
174	Thewickedjon	pfff wow,,,	Hurt
175	David A. Gorton	"Not sure old age is survivable and livable in any meaningful way w/o Jesus. Being old and bitter is torturous, full of recrimination. Statistics for elderly suicides are 2nd in nation behind veterans. Johnny knew Jesus in early life, that early introduction to faith all but disappeared in his wild years, but allowed him to be forgiven his failures in his last years. ""I will never leave you or forsake!"" Christ Jesus"	Hurt
176	Kimberly Richard	Wow! Just wow!!	Hurt
177	bobnab	this tune destroys me like no other, my deamons, my losses my life	Hurt
178	Patriot 1974	Johnny Cash just like Nikki six both had shit fathers that sent them on the road to Self destruction thank God they found God an gave us so many years of great music	Hurt
179	Phil Richards	This is another great cover	Hurt
180	Phil Richards	He was your grandmother's favorite	Hurt
181	Renaider	"Until you (we) die , everyone goes before you. Then you leave someone when it's your turn. It's a dirty trick this life thing plays on us because if you are privileged enough to live a long life , you are also cursed enough to lose more loved ones. The best we can hope for is to enjoy them while they're here and honor their memories when they are gone. It's not all so morbid though. Life is a gift and , like everything it comes at a cost. ""I would rather have loved and lost than never loved at all"" is one of my favorite sayings. Enjoy the now."	Hurt
182	Gentry Tipton	Thank you Johnny.	Hurt
183	Richard Winter	Lovely beautiful song, true entertainer ❤️	Hurt
184	Eric Meddaugh	Me to Johnny & I remember everything....	Hurt
185	inlight2024	what you could hold in your hand will never last , what you hold in your heart will last forever	Hurt
186	David Flieger	For me, Johnny Cash is a person for whom I have deep respect, respect and humility. Even though he has already left this world, he lives on for me, lives on in my heart...	Hurt
187	Slick Robinson	Folsom prison	Hurt
188	Feral Male	Powerful.	Hurt
189	BulletTooth504	"Trent Reznor: ""This song represents a life of pain, addiction, and regret."" Johnny Cash: ""Hold my beer."""	Hurt
190	Joseph Burke	For all i've been through. For all i still go through. This is the one song that i keep thinking of in my head.	Hurt
191	Fred Jacobsen	- LOVE THAT WHICH CREATED ALL THINGS AND BE KIND TO ALL THINGS THUS CREATED - PASS IT ON	Hurt
192	Sly Mother Trucker	Better to regret something you have done, than to have never done it before........ Cash is cash irreplaceable	Hurt
194	Darius As	God may bless you all. Amen🙏	Hurt
195	carlos nei lemos dos santos	A MUSICA MAIS TRISTE DO MUNDO.	Hurt
196	Theresa Hoysic	"And I remember my dad lived to 96..."" they're all gone""..."	Hurt
197	Theresa Hoysic	Thank you to the producer who made these incredible recordings with Johnny and for...us	Hurt
198	Stellarheim	Save Johnny, disregard Cash.	Hurt
199	Lucifer	I can't stop watching this. Hard to believe Mr.Head like a hole wrote something like this!	Hurt
200	thor eric	I'm allergic to the emotions in this song ... where's the tissues	Hurt
201	thor eric	Johnny hit home runs at the end ... I love his voice and Rubin revived the GREATNESS somehow somehow got this great singer in front of a mic again.	Hurt
202	Saif Rehman	So much power in this song man. Truly a masterpiece. This song just feel like a song about life and death. You would have it all , my empire of dirt.	Hurt
203	Duxsy	I can relate to this i wont be in this cruel world much longer im going to leave	Hurt
204	lucio aburto	“My Empire of dirt” such strong words.	Hurt
205	don maclean	The piano crescendo always makes me cry!	Hurt
206	zemstone	What have I become my Swedish friend	Hurt
208	Anita Spehar	Über was singt er????	Hurt
209	Mahmoud Peighambari	pure art . one of the greatest songs ever. even its not originally from Johnny but its suit him very well. truly amazing.	Hurt
210	The Dark Knight	Logan, you still have time	Hurt
211	Lazarus	*The man in black will live on*	Hurt
212	Muffin Man	Damn.	Hurt
213	CaptSorghum	Man.	Hurt
215	Fkthe Demlibscum	It's normal and common for people to leave and move on, so welcome it... Even marriages fail, so be wise and rejoice the loss for it is your gain... What's sad, however, is to lose the one's in death that remained in your life.	Hurt
216	Dominique Pilon	HE TALK TO SATAN!!!!!!!!!!!!!! YOU STAY THE HELL AWAY FROM ME!!!!!!!! YOU EAR!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	Hurt
217	Blackwolftdm	185 million views damn	Hurt
218	Blah_	I have heard this song more than a dozen times and it still chokes my throat and squeezes my heart.	Hurt
219	LiamRapsGayShi	Man I have diabetes too and to see that he died by diabetes makes me scared ngl but I had diabetes since I was 6th grade I’m graduating now! Diabetes sucks man	Hurt
220	フィリップ	so powerful...	Hurt
221	cristian lozano marin	"""Logan, still have time"" 😭"	Hurt
222	Roberto Schneider	I come back to this song every time I am sad and suffering (like now) and it’s a guaranteed cry	Hurt
223	Warren Wilson Batista	I'm a 49 year ol man filled with sadness, anger, loneliness and regret. I never had a meaningful life here on earth. If I could start again, I would fine a way	Hurt
224	Jean Michel MARTIN	Understand this song is undertand life...	Hurt
225	Vicki Gonzales	Feel this and we all wish we could go back to change the things we did and now regret!.	Hurt
226	No time like today	This song is so sad, for such a strong man he was holding on to a lot of pain	Hurt
227	Henrik Kragh	Man... 71 years old here, looks 100. What a great song.	Hurt
228	vhs1994	I'm glad he's not here to see all the bs going on in the states. Rest Easy Brother.	Hurt
229	Philip Cucci	I didn’t know he was still alive when I first saw this video. Turns out I was too late to meet him.	Hurt
231	The Animation Kingdom	What a legend! everytime I get goosebumps listening to this masterpiece.	Hurt
232	Recovering Catholic Born Again Atheist 	No other song touches every emotion like this........ pain is hard to talk about, but we all feel it.............	Hurt
233	Chris Flagg	this was one of if not the first song i wanted to learn how to play. it is simple in its notes but powerful in its message	Hurt
234	Melted sandwich	The lonely man on his empty throne waiting for his regrets to heal	Hurt
235	Nando Play	E a referência do Henrique Mendonça	Hurt
236	Johnny Angel	Pristine	Hurt
237	Mike Sala	A whole life has past... and at the end of our days we wonder what have we done with this life our heavenly Father gave to us.	Hurt
238	Mystical Wise Tree🌳	Henry Dean	Hurt
239	Ben Leermakers	The more i listen to this, the harder it kicks in.... Great song, deep emotions.	Hurt
240	River Critter	Tool completely stole a Led Zepplin song. Ryan Upchurch completely stole a T Grizzly song. This is every bit as good, if not better, than the remake he did of the Soundgarden song Rusty Cage. Johnny Cash is dead but because of what all he left for us, he'll never die	Hurt
241	Games and more inc	Latino Heat	Hurt
242	Space Elf Downlink	I have never seen the video before, heard it plenty. but now I know why Trent basically said its no longer his song.	Hurt
243	Praise Nation Kids	This song and video are...it's just not fair...ruthless to the emotions.	Hurt
244	Arnold Blashak	This is all about June Carter	Hurt
245	Wes Baumguardner	Perhaps I am biased, but I prefer the original. Cash is so monotoned and almost expressionless throughout the entire song that it sounds almost robotic to me. Perhaps people take this monotone expressionless voice as a man coming to grips with his mortality in casual acceptance, which I understand, but I still do not think that makes it as exceptionally great of a performance as many people do.	Hurt
246	Justin Young	Check out the ishayas ascension for a better life.	Hurt
