	Comments
pascal lindemann	"je ne veux pas parler
I don't wanna talk

À propos des choses que nous avons traversées
About things we've gone through

Même si ça me fait mal
Though it's hurting me

Maintenant c'est de l'histoire
Now it's history
J'ai joué toutes mes cartes
I've played all my cards

Et c'est ce que tu as fait aussi
And that's what you've done too

Rien d'autre à dire
Nothing more to say

Plus d'as à jouer
No more ace to play
Le gagnant remporte tout
The winner takes it all

Le perdant est petit
The loser's standing small

A côté de la victoire
Beside the victory

C'est son destin
That's her destiny
j'étais dans tes bras
I was in your arms

Pensant que j'appartenais là
Thinking I belonged there

J'ai pensé que c'était logique
I figured it made sense

Me construisant une clôture
Building me a fence
Me construisant une maison
Building me a home

Pensant que je serais fort là-bas
Thinking I'd be strong there

Mais j'étais un imbécile
But I was a fool

Jouer selon les règles
Playing by the rules
Les dieux peuvent lancer un dé
The gods may throw a dice

Leurs esprits aussi froids que la glace
Their minds as cold as ice

Et quelqu'un ici bas
And someone way down here

Perd quelqu'un de cher
Loses someone dear
Le gagnant prend tout (prend tout)
The winner takes it all (takes it all)

Le perdant doit tomber (doit tomber)
The loser has to fall (has to fall)

C'est simple et c'est clair (c'est tellement clair)
It's simple and it's plain (it's so plain)

Pourquoi devrais-je me plaindre ?
Why should I complain?

(Pourquoi se plaindre ?)
(Why complain?)
Mais dis-moi, est-ce qu'elle embrasse
But tell me, does she kiss

Comme si je t'embrassais ?
Like I used to kiss you?

Est-ce la même chose
Does it feel the same

Quand elle appelle ton nom ?
When she calls your name?
Quelque part au fond de moi
Somewhere deep inside

Tu dois savoir que tu me manques
You must know I miss you

Mais que puis-je dire ?
But what can I say?

Les règles doivent être respectées
Rules must be obeyed
Les juges décideront (décideront)
The judges will decide (will decide)

Les goûts de moi demeurent (moi demeurent)
The likes of me abide (me abide)

Spectateurs du spectacle (du spectacle)
Spectators of the show (of the show)

Toujours rester bas (rester bas)
Always staying low (staying low)
Le jeu est recommencé (recommencé)
The game is on again (on again)

Un amant ou un ami (ou un ami)
A lover or a friend (or a friend)

Une grande chose ou une petite (grande ou petite)
A big thing or a small (big or small)

Le gagnant prend tout (prend tout)
The winner takes it all (takes it all)
je ne veux pas parler
I don't wanna talk

Si ça te rend triste
If it makes you feel sad

Et je comprends
And I understand

Tu es venu me serrer la main
You've come to shake my hand
Je m'excuse
I apologize

Si ça te fait mal
If it makes you feel bad

Me voyant si tendu
Seeing me so tense

Pas de confiance en soi
No self-confidence

Mais tu vois
But you see
Le gagnant remporte tout
The winner takes it all

Le gagnant remporte tout
The winner takes it all
Alors le gagnant prend tout
So the winner takes it all

Et le perdant doit tomber
And the loser has to fall

Jette les dés, froid comme la glace
Throw the dice, cold as ice

En bas ici, quelqu'un de cher
Way down here, someone dear

Prend tout, doit tomber
Takes it all, has to fall

Et c'est clair, pourquoi se plaindre ?
And it's plain, why complain?"
Kaymanth	Dankeschön an euch 4 besonders 2 gefielen mir ! 😊❤️
Melinadyhr	Sveriges bästa sångerska ever ❤
Tony J Lorns	How she seductively lick her lips was for all the fawning male admirers she had
Jose marcos barcelos	Essa loira é linda sou apaixonado por ela!!
Дарья Вавилова	Non curo ut regina in UK, sumo eam et filii rogant, adiuvisti tot annos.
LUIGI SACCOMANDI	Who is she? Where's Chuck?!
Enrique Garrido suarez	amo essa musica
Paolo DM	il canto del cigno 🦢
perfectsims	~~~~~~~On the JOB Ladies..no worries
