	Comments
Jan Briggs	I WILL VISIT. AUSTRALIA.
Jan Briggs	SUCH. A BEAUTIFUL SONG... I. SHALL REMEMBER IT ALWAYS ..
Margaret Regnier	Her ex boyfriend made this song for her to sing.
guderianxxx	So good…
Jason boboy	This track is absolutely goosebump
electrochaud	What beautiful wife she was.
liam firlej	If she changed the lyrics a tiny bit I think this would be the best song ever created. Or maybe I'm just stoned
Jack Sprat	Much to the chagrin of my wife and kids I loved Abba when they came out in the 1980’s.    I feel totally vindicated now as many of their songs are being scored with classical music.   Abba will live forever in the world’s heart.
Андрей	Круть, Ваше чётко !!!
Ronny	Don't let this song distract you from the fact that In 1972, a crack commando unit was sent to prison by a military court for a crime they didn't commit. These men promptly escaped from a maximum security stockade to the Los Angeles underground. Today, still wanted by the government they survive as soldiers of fortune. If you have a problem, if no one else can help, and if you can find them....maybe you can hire The A-Team.
A. Moretto	shes the definition of nordic beauty
les playmo de LaraCraft	"C'est vraiment les meilleurs.dans leur genre.
 J'adore"
baibely	stay hittin.
Thomas Hartm	"Ich hab das Rätsel gelöst, Zeit sich zu treffen, Zeit ZU REDEN. Komm aus Deinem Versteck. 
Auch wenn Du es nicht gerne hörst SEI EIN MANN"
KRZYSZTOF JANIK	Nothing more to say. No more Ace to play. Time will tell who won.
samuel osei-somuah	The album was soo instant a hit that it took  only a few months to reach Africa instead of the usual year or 2 and this song is the reason why
Hari Purwanto	I love her nose ❤️💖
Hari Purwanto	I was 9
Emmanuel Kositany	Agnetha deserved a beautiful family until the last day of her life, congrats I felt in love with your sweet gentle voice 😍💋🥰😘
Nicolae Andrei	Number one  Abba
Павел Тараквнов	И все таки прежняя музыка всегда была,есть,и будет самой лутшей потому что пели в жывую без какой либо фонограммы
Leo Ambus	"I love song that I""ve been singing on videoke with lowered pitch so I can reach the high notes."
Mario Gatti	Meryll Streep vatti a nascondere. Impara come si canta questa canzone da una che è la prova vivente che Dio esiste ..... Grazie Agnetha.
guapo valentino	Angel voice...huh
MEG ON TOUR	Evreybody is a winner 💯
Adriana Godoy	Why this song was ringing in my head in March 2022?
Lakatos Robert	Still is love ☄️☄️😍😍🥰🥰🥰
Paul Carney	So manyof their songs seemed to reflect what was happening in their lives.
Delia	This song makes me nostalgic for a time I wasn’t even alive yet for. Simpler times. Wish we could be the open minded society we are now and live in those times but without discrimination and racism.
John Rogan	But you see...this one line puts this version as the best ...😇
F.T.	"For me, this song, Queen's ""Bohemian rhapsody"" and Frank Sinatra's ""My way"" are the three best songs ever......thank you Aghneta for the lyrics.....thank ABBA for everything."
Marco Pigaiani	Byutifol
Scott Engstrom	I beg for my 80's to return. Much love here.
Michael Cooper	The God’s,May throw a Dice there minds as cold as ice! MY GOD WHAT A STATMENT
Christine Belton	Listening in 2022
lukambalema	I was eleven when I first listened to this song 🎵. Thanks
Andrea Del Corso	TOP 💓
Valentin K	Magnifique chanson d'ABBA, j'adore
Рамиль	Вечные хиты!!!
Reiner Hartke	Besser geht nicht.
Muharrem Sekmen	The Unıversa realıty is Anorm
Muharrem Sekmen	The Realıty is Anorm
Muharrem Sekmen	The realıty is anormal
Dirk Petersen	So the Life will us f... everyday. But you got everyday to take another Chance
Michael Scott	It was most popular in the  US in '76 when I was 19. It or dancing queen should have won a Grammy.
GREGORY ANTONY	We don't have real winners now, more of it all are fake, money is making Them powerful that is  what we see now in Russia
Fatma Hamurtas	Rahmetli annemin en sevdiği grup ABBA dolayısıyla bende çok sevdim hala dinlerim süpersiniz 💚💚👍👍👏👏👏👏
Don	I always felt so bad for Agnetha.
Aigerim Ashymbek	Мои родители вместе Счастливы!!!💯
Китан	В исполнении Розы Рымбаевой лучше это песня звучит..и голос у Розы лучше
Марлен Эреджепов	"Послушайте этот хит в исполнении Роза Рымбаева
(Казахстан) песня называеться  ,, Как прежде , мы вдвоём,, 
К моему сожалению, я даже не знал , что она спела этот всемирно известный, хит,,АББА,, 
Ещё во времена СССР 
Прекрасное, великолепное исполнение, а какой голос, Браво Роза Рымбаева, какой глубокий смысл песни"
Mark Woodhouse	One of the Most Beautiful Women to have EVER lived!  Amazing voice to boot! She’s just WOW!
Marisol Nama	Ang galing galing galing....
Hemant Kejriwal	Let's be honest, you searched for this
Kevin Varney	I don't think when I was young I appreciated what a voice Agnetta had.
Олег Суворов	Даже не верится что Агнета пастарелла
Levi Hope	sad song but somehow calming
Mario Luis Caceres	¡Un tema excelente!!
Danuta Krobska	Słowo za Słowo tak bardzo chcę mòwoć tym językiem
Danuta Krobska	Wyrazić w słowach emocje i emocje w słowach
AlfaMadDog11	2 words.. Breaking Bad.. ahh crap sorry.. 3 words 'Better Call Saul'.. what a great scene.. damn good group too :D
PETER SELLER	Go-ord-blimey! What a tune.🙄 I think it says it all. 😧
PETER BANKS	Go-ord blimey! What a tune. 🙄 I think it says it all. 😢
Phil McCrackin	Why did she have to apologise for what happened.  He left her!
Royan Miniature Buildings Diorama Hobbies	Salahkah bila diriku terlalu mencintaimu...
Jason Oregan	"Beautiful
Music is a time machine split second taken back to your raw emotions relived tears and joy remanis with or remembering loved ones and lost friends a powerful and healing emersian. Thanks for the music"
MAYA AZIZA	Beast of the beast
Sassy Panther	Sometimes I listen to this song and feel a great sadness, but then I think about the things around me and I am reminded that it’s Saul good man.
Victor Basta	Face and voice like angel. I was only 17 when this came out.
Хельга Оттеборг	Никогда не разделяла вокал АННЫ-ФРИДЫ и АГНЕССЫ. Для меня ABBA навсегда!!! Да, забыла про МУЖЧИН - они великолепны ОБА. 😇
Alexis Garcia	Agnetha merecía una hermosa familia hasta el último día de su vida :(
Atenea es sabia	"Letra:
Agnetha: I don't wanna talk
About things we've gone through
Though it's hurting me
Now it's history

I've played all my cards
And that's what you've done too
Nothing more to say
No more ace to play

The winner takes it all
The loser's standing small
Beside the victory
That's her destiny

I was in your arms
Thinking I belonged there
I figured it made sense
Building me a fence

Building me a home
Thinking I'd be strong there
But I was a fool
Playing by the rules

The gods may throw a dice
Their minds as cold as ice
And someone way down here
Loses someone dear

The winner takes it all

Coro: Takes it all...

Agnetha: The loser has to fall

Coro: has to fall...

Agnetha: It's simple and it's plain...

Coro: it's so plain....

Agnetha: Why should I complain?

Coro: Why complain?

Agnetha: But tell me, does she kiss
Like I used to kiss you?
Does it feel the same
When she calls your name?

Somewhere deep inside
You must know I miss you
But what can I say?
Rules must be obeyed

The judges will decide

Coro: will decide...

Agnetha: The likes of me abide

Coro: me abide...

Agnetha: Spectators of the show

Coro: Of the show...

Agnetha: Always staying low

Coro: Staying low...

Agnetha: The game is on again

Coro: on again...

Agnetha: A lover or a friend

Coro: or a friend...

Agnetha: A big thing or a small

Coro: big or smal...

Agnetha: The winner takes it all...

Coro: takes it all...

Agnetha: I don't wanna talk
If it makes you feel sad
And I understand
You've come to shake my hand

I apologize
If it makes you feel bad
Seeing me so tense
No self-confidence
But you see

The winner takes it all
The winner takes it all

So the winner takes it all
And the loser has to fall
Throw the dice, cold as ice
Way down here, someone dear
Takes it all, has to fall
And it's plain, why complain?"
Anfas Alturki	I was just born 😂😂1980
leo aldi	"I loved, when Chuck and Jimmy started singing this, in „Better Call Saul“. 
Loving Brothers, sweet times :)
(S4 Ep10)"
Gary henshaw	These are the days 😄😂🥰🥰🥰
David Hope	Masterpiece for eternity.
Мария Бабич	Любовь вечна!!!!!!! Дискотека в пионерском лагере!
x101st	I was 12 when this came out, and I was saddened  because it was the end of an era, a decade, and a great band. Anybody that doesn't like ABBA is not human IMO. Agnetha is a doll, singing out her heartbreak for all to hear. God bless you honey!!!
jeff rabe	Une grande chanson avec le cri du coeur
Rafał Pawłowski	♥️
Benjamin Smith	Personally, the song doesn't uplift the soul. No need to drown in tears, life is challenging as it is. The soul needs joy, sunlight not dreariness.
Rustam Ihsanov	Агнета моя 💘
David Coomber	It takes a special type of control freak to dump his lover, than write a song giving his opinion of her reaction and then make her sing it with feeling, narcissistic doesn’t even begin to cover that kind of sickness
Emma	Anyone else listening to this cause a non profit turned out to be The Bad Place ™️
MOL TECH	"01:43"" -> ""vai lavar seu cu"" é fogo! 😂😅😂"
Curious Cat	Ohhh the nostalgia....the emotion in her voice is absolutely fabulous, it takes you with her on the journey.
Curious Cat	Ohhh the nostalgia....
Kyomuhendo Tom	I was 6 years when this song was released but all i know i grew up listening to this music because my Dad had a collection.
Christian DOBY	💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕
nick haswell	"That heartbreaking feeling you feel for her when you hear the line you've come to shake my hand

Incredible lyrics that effect you like that just shows you what powerful wonderful lyrics this amazing song has magical"
Patrick Gray	I cried hearing this at the end of Super Bowl 16 when my beloved Bengals lost to the 49ers. I cried last night thinking of this song when the Bengals lost Super Bowl 56 to the Rams.
Ahmet Yiğit Kaplan	💖
japan biking	"I don't wanna talk about the things we've gone through
Though it's hurting me, now it's history
I've played all my cards and that's what you've done too
Nothing more to say, no more ace to play

The winner takes it all, the loser standing small
Beside the victory that's her destiny

I was in your arms thinking I belonged there
I figured it made sense building me a fence
Building me a home thinking I'd be strong there
But I was a fool playing by the rules

The Gods may throw a dice, their minds as cold as ice
And someone way down here loses someone dear
The winner takes it all, the loser has to fall
It's simple and it's plain, why should I complain

But tell me does she kiss like I used to kiss you
Does it feel the same, when she calls your name
Somewhere deep inside you must know I miss you
But what can I say rules must be obeyed

The judges will decide, the likes of me abide
Spectators of the show always staying low
The game is on again, a lover or a friend
A big thing or a small the winner takes it all

I don't wanna talk if it makes you feel sad
And I understand you've come to shake my hand
I apologize if it makes you feel bad
Seeing me so tense, no self-confidence

But you see the winner takes it all
The winner takes it all
So the winner takes it all and the loser has to fall
Throw a dice, cold as ice
Way down here, someone dear
Takes it all, has to fall
Yes it's plain, no complain"
Paperboy	Always loved this song but never knew until a recent interview with Agnetha that she co-wrote it during her divorce as well as the group splitting up. She said it remains her favorite, sad though it was, because she knew she was about to experience a certain freedom from all the traveling & lack of privacy & enjoy being a mother. As they say all good things must come to an end. Agnetha seems happy now but would prefer to enjoy her life today rather than remember what once was or be included in any reunion or fanfare. And to that I say, “be well & thank you for the music!”
NNGGAARRYY	Gazza 1996 8 in a row. Got in from the match just in time to see the ending credits on scotsport Walter smith, Tommy Burns, gazza it doesn’t get any better great guys great memories.
Karen Aldred	I dont know how true it is but apparently angetha sang this song about her and her husband, he wrote it and got her to sing it, thats wot steve coogan said anyway
Robin Kerr	I’m 18 years old and I still play this song in my car
Mylène L.	belle représentation les filles
Ha Kh	Make me cry 😭
ButtaUsagi	This is the first time I’m hearing this song and I’m a 90’s kid. I love ABBA💖😭😭😭😭😭
nick haswell	Lyrically an absolute masterpiece
Guy Belgrade	AGNETHA..!!!!!🌹♥️🧡♥️☠️⚔️💥💯😘😘😘
Вадим Волков	ВЕЧНАЯ МУЗЫКА
Allan Dela Rosa	Such an amazing voice
dr. kind	Прекрасне виконання сумної історії
Reny Mah	💔
SuperBandMom	Love this song and their  suits are straight 🔥
Jane Hansen	Tak Abba ❤️ jeg kan ikke forklare, men I rører mig med Jeres musik❤️ønsker Jer det Bedste 💗 mange hilsner og ønsker om det bedste for Jer, fra Jeres naboer Danmark 🇸🇪🇩🇰🇸🇪
Don McNeal	ABBA! Nothing else to say...🙂
Sándor Szijjártó	imádom a zenét
Vatnik THAT DO NOT JUMP ;)	"Учитесь,фанерные ""звёзды""!"
Ruslan Vasilyev	Sweden thanks for ABBA
Kelly Polizzi	lol@the brunette having to stand in the background silent and swaying the whole time.
Виктор Ткаченко	Часто перед сном слушаю эту композицию, чтобы лечь спать с хорошим настроением с надеждой на лучшее, несмотря на тот ужас который происходит вокруг. Спасибо, АББА!
Jason Hobble	Such a sweet yet sad song 😭
Arnold Schwarzenegger	Love this song ❤
usiruk	Jimmy McGill brought me here, this is an amazing song
Manuel Fernandez	So bad that is good:)
Silly Bolox	This is why only ABBA are eternal. They speak for all our pasts and regrets not todays music could
moja pjesma	the best song ever
NeoGemini	Beautiful Agnetha, sweet Frida. This song deeply touches my heart everytime.
ikyu 72	Preface: I'm a 90's grunge product, but have always appreciated this group. Such a talented group with some of the best vocals and harmonies of all time. Check out 3:50. That is all.
ALain deloinn	Merci
skbachoti	More than the lyrics, the melancholy onher face, that squeezes my heart.
nick haswell	"Oh my god this song is so good in everyway lyrics, vocals the whole package and my god does it deliver like no other moves me like no other song does 

Purely sensational how does this have the same effect 40+ years on absolute magic"
Rob Van Lent	Russia vs Europa! Please putin stop it! I am begging you!
Mariko Kawaguchi	Now it's HISTORY
Wilson23	Sad that same video with 200M views was deleted for some reason. Hopefully, this one or some other would get to the same mark very soon. and wont get deleted.
Edmar Recto	I’m playing this song as open as I can do. I love agneta’s performance.
Richard Long	All is music to my ears! I've lived a long and varied life, like most of us. Pain & joy follow us all in equal doses.
Revupthosefryers	Back when singers actually possessed incredible talent, and not Auto-Tone amplifiers and reverberations.
Muharrem Sekmen	Zaman'ın ıraklaşan belirsizliği, belki
auana3	This song will never go old!
Ximena Osorio	How she can sing thus song  with the asshold next to
Xena	Abba,oh m'y ..non mon groupe fétiche dans mes jeunes années,cette chanson l'aime très forte et pourtant suis restée longtemps à ne plus l'écouter,or après des années elle reste au top,je l'm autant,voire plus car je suis dans la positivité,abba groupe merveilleux,bravo pour votre retour 🤗👍👍👍❤️❤️❤️
Uriel HerRan	I listened this song three years ago and i loved It. I can't stop to listen it yet.
Saad Al Tamimi	This song will last forever
Muharrem Sekmen	Belki imkansız, uzaklardan yaklaşan bir meçhul, buluşması aşk,
Muharrem Sekmen	Belki, bir yaşama özlemi değildir, belki, herşey'den başka birşey'dir, Karanlık bir  Zaman'ın, çağrısı belki,
Richard Jentetics	am was 8 or something 🤔😊✌❤
Велес !	Браво!!!! Какой голос!  Лучшая песня!
ana zamonita	The way she throws a look at her ex at the end, floors me
Filip Cibulak	"I DID NOT HAVE
LIFE BROKEN HEART but when I heard it everything changed in my life."
Muharrem Sekmen	, ışıklı an'larda karanlık  Zaman'dan, hep yanılgıda belki
Matthew Douglas	A great true sad classic!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Muharrem Sekmen	, yakın küçük, sonsuzlarda, belkide
Muharrem Sekmen	, yakın küçük sonsuzlarda belkide,
Muharrem Sekmen	, Aşk'tan mı bahsediliyor, hangi an'dan, Zaman'da anlıyamıyorum
Muharrem Sekmen	, aşk'tan mı bahsediliyor, hangi an'dan, Zaman'da, anlıyamıyorum,
Sherry Bean	Love this song
Sarah Steer	Wish we could turn back time......
Jordan Rodriguez	People talk about Chiquitita but to me this is the greatest song these guys ever made
Jordan Rodriguez	People talk about Chiquitita but to me this is the greatest song these guys ever made
Мария Машенька	ABBA forever!❤️❤️❤️❤️🇷🇺
Ewa Ziniewicz	Za kwadrans mam 44 urodziny... Moja mama zaszczepiła we mnie miłość... Dla Abby, od kiedy pamiętam.. Ten utwór uwielbiam.. Ponad wszystkie❤️
Aj the king	Old memories calling once again through this sweet song....love with this song of ABBA..,👍👍👍👍5
Anthony Amburn	An old song I kind of ignored back in the day.  Now listening to it and seeing Agnetha sing it, her pain is palpable.
Omar Sighinolfi	"Fantastic song, the most beautiful ever !! Agnetha fantastic, beautiful when she smiles, even more so when she is sad (but I wish she had never been sad!) The phrase: "" But tell me does she kiss like i used to kiss you "" is the most powerful that has ever been written in a song! Goose bumps.
I really like Agnetha at the end when she says: ""But you see"": there you can see that she has the strength to get up and go on and she made it!"
Deepa Charen	💟💟💟
Carlo mike Faustorilla	The best
coashddjj2	Who can't relate to this song?
Sana Alyan	I remrmber when i heared it i was youg and cried alot
Top Gun	Memories of my youth 🤛🏾😀🎵🎵🎵🎊🎆
Lauren Claes	Who balling there eye's out 2022
Lauren Claes	So true the word's.
Zangief ☭	Listening to this song in 2022?
Ruby Sánchez	Desde Santo Domingo RD eso es bello me remueve el alma recordar
Volshebnik 37	Я живу настоящим, но музыку и фильмы слушаю и смотрю из прошлого...
Rabia	McGill brothers...
Vesta	Любимая ABBA  супер.🔥🔥🔥👌💋❤️❤️👍👍👍
Mihail13Ru	Фантастика! Драма в ритме марша в исполнении принцессы!! Это так по- нашему
Victor Zavalishin	2022!!! Welcome!!! Happy New Year!!!
Antônio José Machado Vieira Júnior Vieira	Amo ♥️♥️♥️
Twosuns	"How Agnetha hits and holds those notes is amazing and beautiful,as she is. ""Song Bird"" by Christine Macvie, though completely different is just as beautiful. Superb artists"
Walter Mameli	Very possible that ABBA was the most polished band musically of all time...the proof being this masterpiece as Exhibit A...
Ed Knoxwill	Never stop to love yours songs which is wroten by real life you had,love you for being honest.Jeg elsker dig ;-)
Muharrem Sekmen	Cömert  Zaman, en  adil'dir, çünkü istenildiğinden fazla vardır, bilinir ki belki, en önemsir,
Victor Cedeño	"Agnetha mi amore lindo cantas seguiras
Cantando como los dioses bb eres
Tan linda hermoza como esa prodijiosa
Vos para la eternida esta es tu hermoza
Cancion mi reyna  que dios t bendiga
Por ciempre te quedaste en la eternidad"
Анатолий Окнечирик	Да, каждый получит по своим заслугам.....
mortonbay chestnut	There are very few songs in g flat major... Schubert's 3rd impromptu is also in the same key... another tear jerker...
mortonbay chestnut	Everyone's been heart broken... well almost... universal sentiments... universal song... actually many have been heart broken more than once!!
Janka Hricová	To je pesnička,ktorú si spájam so Silvestrom,viac ako Happy New Year a vždy ma chytí za srdce ,vždy...a vytvorí taku zvláštnu nostalgiu ,že dojdem až do detstva ...
Berjaya DAYANA	Tat girl is out therw. Now at philippines i guess
Berjaya DAYANA	The year where I fall and far away from my home
Paul Joseph Franklin	Song is sad asf
Lee Allan	Perfection personified ✌️❤️💔
Joachim Köbler	Seht ihr wie ihr die Tränen im Gesicht runter laufen und seht ihr wie traurig sie ist
steve peanut butter	Playing this tonight cuz one of my brothers favorite songs. He is currently in the hospital hooked up the a ventilator in ICU. Of course I am in tears listening to it 😭!
Сергей Гурский	ШЕДЕВР НА ВЕКА
Евгений Троицкий	какого хрена пишите по албанске..)))
Милла	💖💖💖💖💖👏👏👏👏👏👏👏
Микола Миколайович	👍❤
Samessa	One of the most beautiful song for all the wrong reasons.
Devon	Tien juni  zijn me groot ouders overleden Aan kanker ze zijn samen gegaan dit liedje was hun favoriet en hun doel bomma bompa jullie hebben gewonnen jullie hebben me veel geleerd ook al ben ik soms een rebel maar een rebel draag hun ouders en groot ouders op handen en heb ik jullie veel geneart van de raad dat jullie haven maar ik beloof ik maak jullie trots dat heb ik belooft bedankt voor alles en dat jullie me een goeie mama gaf ik hoop dat ik jullie ooit weer zie ook al ben ik niet gelovig dankje voor alles you never walk alone love you bomma bompa
XAV	Temazo de despedida. Lo escribio el
Tanja Karban	Ich hab die mit 2 Jahren auf die Ohren bekommen,leider mit einem schrecklichen Vorfall durch meinen Taufpaten!
cris nine	MASTERPIECE ...
Sergio Romas	We are from the USSR, we remember and love you!
Jonas Vilhelm Lindberg	Så bra att man 😃
Breno Gott	"Música linda. Mas aos 1:44... ""Vá lavar seu 👌🏻""..."
jaymmzzs	oooooooooooooooooooo
jeh500	Possibly the best song about a breakup. ABBA will always be magic.
Waterlily Koni	❤️❤️❤️------------    ★  ❤  ★  ★ ❤ ❤ ❤  ★  ★  ❤  ★   -------------❤️❤️❤️
Herbert Gőrtemaker	Ein wunderschönes Lied
Muharrem Sekmen	ZAMAN'IN, delip geçen yokluk ışığı, belki aşk,
Anton Joyce	Abba are just flawless.
Natsir Purboningrat	Tis amazing and eternal song petformed by ABBA ... INDONESIA LOVE...YOU
PerDaniel Söderlind	VERY GOOD SONG ...WRITE MY SWEDICH SONG ...JAG VILL BO I DINA STEG ...BECACUSE OF ABBA TANKS
brian blackwell	Most professional song of all time. Tell me im wrong. I'll wait. Cause the closest comparison would be stairway to heaven or tears in heaven.🙏
Владимир Изюмников	!!!!!!!!
Lee Allan	Beautiful lyrics
Jeffers S	Time to re-release it now .No question the greatest pop song ever made.
Наталья	Не нужны никакие спецэффекты, ни чего того, что отвлекало бы от музыки и от сильного чистого голоса исполнителя ... Браво Агнета, браво АББА😘😘😘!!!
Muharrem Sekmen	Artık, Zaman'a kalmıştır, git gide boğan bir yaklaşma, artık, sadece  görmekten dayanılmaz korkunç,
SpeedrunsAndMemes	Better call Saul!
Jeffers	Come on, No-ones listening. Let's get this re-leased
Jacob Son	My amazing song with an unprecedented voice ❤🔥🔥🔥
KJ	Probably one of the best songs of the 20th century!
Captain Crayonic	Apex Legends
Muharrem Sekmen	Hayır, tam  olarak  anlıyamıyorum, bir başka şey olmalı, bulamadığım bir şey,
Muharrem Sekmen	Biliyorum, bir hikayesi vardır, varoluşun, belki bir, sıfır noktası, belki, meraklı bir çoçuk,
Theofanis Nikolopoulos	I played all my cards. What a strong human nature! ABBA forever. We love you...
Nail Bederdinov	Суперрррр👍👍👍
mizi kenner	Omg..I'm in tears again
Наталья	Моя самая любимая песня из АББА😘!!! Агнета с непревзойдённым вокалом, БРАВО!!!
Fabrice DEMANET	beauty agnetha
Катя Хименко	I know it is about breaking up should be the end but for me it makes my christmas mood.dont knoe the logic maybe cause of music part.
Jeffers	Re-release it NOW.Greatest love song of all time.
Ethan Parker	The karaoke part of better call Saul made me cry ngl
Ethan Parker	The karaoke part of better call Saul made me cry ngl
Ionut Muresan	I love that song!i wish to be young in the early 80 but this is the time now! Greatest from 🇷🇴🇷🇴🇷🇴
reda terki	Respect for ABBA .fantastic agnetha ❤❤❤❤
Muharrem Sekmen	perhaps, I mistake,
Muharrem Sekmen	I search, what color is light,
Muharrem Sekmen	I know, the loves is very dıffıcuıld,
Rob Parous	Her hair is perfect
Dario De Dominicis	Riceverai una esule di vita e un abbraccio continua di amore per 1 persone 1 / alfa-romeo-33-3-lemans
Mounissa Topaz	Traduction
Muharrem Sekmen	Perhaps, A dualıt,
La Rocker	💔
Артем	Это безумие, какая эмоциональная Музыка
Jimmy Carter	Great song
Giacomo Specchia	Voce unica ed assoluta
Muharrem Sekmen	Biliyorum, doğru, değerliler üstündür, bir sebepten, ötürü,
Muharrem Sekmen	Belki, değer arayan,  bir değersizdir, hayır, seni  senin adına seviyorum, elimde  değil, sebepten ötürü belki,
Xena	A croire que cette chanson est ma berceuse,j'm trop👍👍
Robert McGinness	Very nice  but I like the one with  the blue lyrics in English and  Spanish
Walter Walter	siento mucha tristeza, un vacío enorme, the winner take ir all, me hace llorar, esto os ha sucedido quizás a todos.
Borislav Zbucnovic	Abba Svedska zivot...
Isabell Byrne	2021 I love this song I'd wish I had them days back they were the best days of my life happy days every one from Ireland xxx
Ирина Сорокина	Без ума от этой песни!
Muharrem Sekmen	Bir iki kişi , oldukça uzaklardan  unutulmuş akraba, belki minimum,
Nolan Polansky	here comes the bots
Meike Sasse	So göttlich schön !!!!!
Muharrem Sekmen	Kömür, yanmadıkça, elmas olmaz,  biliyorum,
Muharrem Sekmen	Aşk, isyan etmez, biliyorum, sevgi, fedakardır,
Muharrem Sekmen	Bir  kömürün, elmasa dönüşüm hikayesidir, yaşam, hikayesiz olmaz biliyorum, çocukların kaderi budur, masallar, yalan söylesede, ,
Muharrem Sekmen	Aralık'da sadece mesafeler var, belki gizemli iç'erden çıkış,
Muharrem Sekmen	anlıyorum, anlaşılmıyorum, yollar, çok uzun,
Muharrem Sekmen	Kader ağlatır, sevgi, aşkın kurbanıdır, ağlamaktan daha mutlu birşey yok belkide, evet, sevgi, kır, gibidir, öylesine belirsiz,
Muharrem Sekmen	Bilge gözyaşlarım, geleceğini görebildiğim, bir saf yüreğe , küçük  bir yüreğedir,
Muharrem Sekmen	Hayır  sevginin kaderi, zorunluktur,
Muharrem Sekmen	eğri büğrü yollarda, kader, tamamlanacak biliyorum, safsevgi acıyacak biliyorum, yol, tekrar edecek, çocuk yürek buna aday,
Muharrem Sekmen	İyilerin kaderi, bunu gerektirecek, anlaşılmaz bir sevgi, anlaşılmak için,
Muharrem Sekmen	Hayır, anlamadığından, bir ermişin  gözyaşları, bilindiği gibi, hayır, anlamadığındandır insanlar, bir saf sevgiyedir o,
Muharrem Sekmen	Biliyorum cehaletin kaderini, ondan, bilgeliğe aday, kader, bir daha tekrar edecek, belki henüz çocuk, henüz bir sevgi,
Елена Кухарская	You are my everything ❣️
Елена Кухарская	You are my everything 💘😘😊
Елена Кухарская	ABBA forever!
Hirschi74	THIS! VOICE!
Ashley Glaister	Alan Partridge sent me here....
Muharrem Sekmen	I am know, unıversa sciences,
Muharrem Sekmen	I am know, can not be without me, everyting,
Muharrem Sekmen	I am know midle of World,
Muharrem Sekmen	again I am knowing, a curse is ignorance,
Muharrem Sekmen	I am knowing, a prophecy is got,
Muharrem Sekmen	I am alon,
Muharrem Sekmen	I can not get  help to you,
Muharrem Sekmen	I May have made  A mıstake, but
Muharrem Sekmen	I am believ  human's,
Muharrem Sekmen	I am reaching mind unıversa,
Muharrem Sekmen	I am Unıversa  the şamanıst,
Muharrem Sekmen	I am from the Unıversa,
Robinson taguera	questa è la musica della mia infadolescenza
Muharrem Sekmen	I am from Unıversa,
Muharrem Sekmen	I am Şamanist
Muharrem Sekmen	I am  a ŞAMANIST,
Muharrem Sekmen	I am  şamanıst
Muharrem Sekmen	I am not İslamy of human.
Muharrem Sekmen	I am not islamy's human
Muharrem Sekmen	I  am not İslamic,
Muharrem Sekmen	I am not İslam of human,
Muharrem Sekmen	I do not İslam of human
Muharrem Sekmen	I do not  İslamic  human
Muharrem Sekmen	I am from  unıversa
Muharrem Sekmen	I am from  the World,
Muharrem Sekmen	I don't muslim,
Muharrem Sekmen	Perhaps, the love is freedom, necessity, difficulty,
Muharrem Sekmen	Perhaps, the love is transformation,
Muharrem Sekmen	Perhaps, loves, spesıfıc, but,
Muharrem Sekmen	, ırrealıty is in the realıty
Muharrem Sekmen	a paradox, then, is caos,
Muharrem Sekmen	, the problem is digital
Muharrem Sekmen	, problems are verbal and digital,
Muharrem Sekmen	Perhaps, the problem is ırrealıty of uncertainty or indefnitely
Muharrem Sekmen	, the problem, realıty of indefinitely principle
Muharrem Sekmen	Undersanting, the loves, unknowen , but why
Muharrem Sekmen	Perhaps,the loves, happıned, but whic or whose
Muharrem Sekmen	Yes,  the love is exist, but while,
Muharrem Sekmen	Undersanting, perhaps, loves:  not anything,
Muharrem Sekmen	Perhaps, loves, information, knowledge,
Muharrem Sekmen	Perhaps, love, loves, to feel, feeling,
Muharrem Sekmen	Perhaps, loves, learning,
Muharrem Sekmen	Perhaps, loves, minimal, relation,
Muharrem Sekmen	Perhaps, loves, realıze,
Muharrem Sekmen	Truth, syıstemes
Muharrem Sekmen	undersanting, syıstem,
Muharrem Sekmen	Perhaps, loves, transıtion,
Ashy bashy	Love this song they really had good variety in those times
Muharrem Sekmen	Perhaps, be sure,
Muharrem Sekmen	Perhaps, anxyt,
Muharrem Sekmen	Do not set love.
Muharrem Sekmen	,
Muharrem Sekmen	Do not study love
Muharrem Sekmen	The Chrronos.
Muharrem Sekmen	Angle, rest
Muharrem Sekmen	Be carefıl
Muharrem Sekmen	Rest
Jighish Jigh	Super song she is a legend
Kerstin Wassermann	Ein sehr emotionalers Lied. Wie konnte Björn diese Frau aufgeben..... Unbegreiflich, zumal Kinder im Spiel waren. Fühlt er sich besser an der Seite, seiner jetzigen alten Senfgurke?
Bernie	This has got to be their best song doesn't it?
Muharrem Sekmen	Perhaps, not any tımess,
Muharrem Sekmen	Perhaps, never,
Muharrem Sekmen	Perhaps, loverr, lıfe,
Muharrem Sekmen	Perhaps, lovyerr,
Muharrem Sekmen	Perhaps, minör, perhaps, majorr
Muharrem Sekmen	Perhaps, not lawyer,
Muharrem Sekmen	Perhaps, the an, A fayver,
Muharrem Sekmen	Perhaps,  the A, and a fayver,
Muharrem Sekmen	Perhaps, the A, or, every one, fayver,
Muharrem Sekmen	Perhaps, the A, the fayver,
